stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
519190,A9AOE22A,Av 22 Oeste entre  Cl 22A y 23 Bis,3.455775,-76.5646125,0
519191,A9AOE24,Av 9A Oeste con Cl 24,3.4559325,-76.56520722,0
519192,A9AOE241,Av 9A Oeste con Cl 24 - 1,3.455865,-76.5655325,0
519193,A9AOE23B,Av 9A Oeste entre Cl 23 Bis y 22A,3.45561722,-76.56439,0
519194,A9OE1,Av 9 Oeste - 1,3.45778389,-76.56279889,0
519195,A9OE3,Av 9 Oeste - 3,3.460115,-76.56087111,0
519196,C14OK121,Cl 14 Oeste con Kr 12A Oeste,3.4607725,-76.55997333,0
519197,C11OK15A,Cl 11 Oeste con Kr 15A,3.46155667,-76.55905861,0
519198,PRAUSA2,Puente del Rio Aguacatal Urbanizacion Se,3.45951556,-76.55552361,0
519199,A15OC9A1,Av 15 Oeste con Cl 9A - 1,3.46005333,-76.55323972,0
519200,A15OC9A3,Av 15 Oeste con Cl 9A,3.45964389,-76.5513575,0
519201,A15OEC71,Av 15 Oeste con Cl 7 - 1,3.45784667,-76.54968583,0
519202,A40OEC51,Av 4 Oeste con Cl 5 - 1,3.45514694,-76.5481375,0
519205,C15K18A,Cl 15 entre Kr 18A y 19,3.44011056,-76.52611917,0
519206,K25C19B,Kr 25 entre Cl 19B y 19A,3.43233833,-76.52135056,0
519263,K27C4,Kr 27 entre Cl 4 y 5 Oe,3.43810417,-76.54581889,0
519264,K27C5OE,Kr 27 entre  Cl 5  y 4 Oe,3.43822056,-76.54590972,0
519266,C5K7,Cl 5 entre Kr 7 y 6,3.44803167,-76.53681833,0
519270,C5K15C6,Cl 5 entre Kr 15 y Cl 6,3.44166667,-76.5363,0
519281,C9K14A,Cl 9 entre Kr 14A y 14,3.44284028,-76.53318889,0
519282,C5K27,Cl 5 entre Kr 27 y 34,3.43363528,-76.54202694,0
519283,C15K16,Cl 15 entre Kr 16 y 17,3.44156389,-76.52612667,0
519284,C21K11B,Cl 21 entre Kr 11B y 11D,3.44733,-76.52217722,0
519288,K15C7,Kr 15 entre Cl 7 y 5,3.44104528,-76.53523944,0
600100,TMENGA1,Terminal Menga C1,3.48919806,-76.50918028,0
600101,TMENGA2,Terminal Menga C2,3.48910306,-76.5089375,0
600102,TMENGA3,Terminal Menga C3,3.48896611,-76.50851528,0
600103,TMENGA4,Terminal Menga C4,3.48886056,-76.50816167,0
600104,TMENGA5,Terminal Menga B1,3.48921056,-76.50795667,0
600105,TMENGA6,Terminal Menga B2,3.48930028,-76.50823611,0
600106,TMENGA7,Terminal Menga B3,3.48939528,-76.50861083,0
600107,TMENGA8,Terminal Menga B4,3.48945833,-76.50890639,0
600108,TMENGA9,Terminal Menga A1,3.48941528,-76.50773806,0
600109,TMENGA10,Terminal Menga A2,3.48947833,-76.50791222,0
600110,TMENGA11,Terminal Menga A3,3.48953639,-76.5081075,0
600111,TMENGA12,Terminal Menga A4,3.48956889,-76.50827528,0
600112,TMENGA13,Terminal Menga A5,3.48960472,-76.50843972,0
600156,A.SANIN7,Terminal Andres Sanin D3,3.44349556,-76.48309778,0
600158,A.SANI10,Terminal Andres Sanin E3,3.44337667,-76.48265444,0
600159,A.SANI11,Terminal Andres Sanin E2,3.44337111,-76.48308667,0
600161,A.SANI13,Terminal Andres Sanin C5,3.44382639,-76.48357861,0
600162,A.SANI14,Terminal Andres Sanin D1,3.44348861,-76.48359917,0
600163,A.SANI15,Terminal Andres Sanin E1,3.44334194,-76.48351694,0
600164,A.SANI16,Terminal Andres Sanin D4,3.44350417,-76.48275778,0
600165,A.SANI17,Terminal Andres Sanin D5,3.44351,-76.48255917,0
600166,A.SANIN9,Terminal Andres Sanin A1,3.44401861,-76.48342778,0
600200,CHIMI3,Chiminangos A2,3.48138833,-76.49837833,0
600201,CHIMI2,Chiminangos B1,3.48160167,-76.49807667,0
600250,FLORAI1,Flora Industrial A1,3.47815833,-76.50242833,0
600251,FLORAI2,Flora Industrial B1,3.478355,-76.502095,0
601850,UDP1,Unidad Deportiva A1,3.41527167,-76.54840167,0
601851,UDP2,Unidad Deportiva B1,3.41458667,-76.54823833,0
601853,UDP4,Unidad Deportiva B2,3.41499333,-76.54822667,0
601854,UDP5,Unidad Deportiva A3,3.41447667,-76.54845,0
601855,UDP6,Unidad Deportiva B3,3.41534083,-76.54824639,0
602100,CAPRI1,Capri A1,3.38828,-76.545085,0
602101,CAPRI2,Capri B1,3.38782361,-76.54479528,0
602103,CAPRI4,Capri B2,3.38828,-76.54486167,0
602300,UNIV1,Universidades A1,3.367005,-76.52925167,0
