OBJECTID,RECORRIDO,CODIGO,NOMBRE,SISTEMA,TIPO,EMPRESA,SHAPELEN
64,Origen-Destino,317 1-2,San Antonio de Prado El Limonar,,Directa Centro,Cootrasana,21197.8141766316
65,Origen-Destino,317 2-1,San Antonio de Prado El Limonar,,Directa Centro,Cootrasana,20825.1233909032
81,Origen-Destino,Ruta 11,Villa Loma,,Directa No Centro,Cootrasana,1986.67025589558
82,Origen-Destino,Ruta 12,El Salado,,Directa No Centro,Cootrasana,3799.64660955724
83,Origen-Destino,Ruta 13,Montañita,,Directa No Centro,Cootrasana,3902.44410613905
84,Origen-Destino,160,Trinidad-Parque Berrío,,Directa Centro,Coometropol,6108.18389760096
85,Origen-Destino,160i,Terminal del Sur estación Industriales,,Integrada,Coometropol,3263.12083645454
86,Origen-Destino,161,Trinidad-Parque Berrío-Minorista,,Directa Centro,Coometropol,8053.21252944729
103,Origen-Destino,246ii,Blanquizal integrada,2A,Integrada,Cootransblan,4965.27919141412
104,Origen-Destino,250AiP,Pajarito integrada,2A,Integrada,Palenque Robledal,1859.12014056796
105,Origen-Destino,250Aii,Tulipanes La Huerta integrada,2A,Integrada,Palenque Robledal,2722.91510851383
106,Origen-Destino,250R,Robledales,2A,Directa Centro,Palenque Robledal,10763.4590222739
107,Origen-Destino,250iVF,Villa Flora integrada,2A,Integrada,Palenque Robledal,5387.67859412508
108,Origen-Destino,250iR,Robledal integrada,2A,Integrada,Palenque Robledal,8242.08123942116
109,Origen-Destino,250VF,Robledo Villa Flora,2A,Directa Centro,Palenque Robledal,10010.6350727357
113,Origen-Destino,251,Margaritas,2A,Directa Centro,Palenque Robledal,11604.6288736874
114,Origen-Destino,252,Kennedy,2A,Directa Centro,Palenque Robledal,10832.9772344077
110,Origen-Destino,250AH,La Huerta,2A,Directa Centro,Palenque Robledal,11147.3813230016
111,Origen-Destino,250M,Moravia,2A,Integrada,Palenque Robledal,9201.58894615057
112,Origen-Destino,250AP,Pajarito,2A,Directa Centro,Palenque Robledal,12827.8415265581
120,Origen-Destino,255A,Nuevo Occidente-Las Flores,2A,Directa Centro,Rápido San Cristóbal,15502.7878774885
121,Origen-Destino,255D,San Cristóbal -Conexión vial,2A,Directa Centro,Rápido San Cristóbal,12545.1167138765
87,Origen-Destino,Ruta 2,Pradito - Barichara,,Directa No Centro,Cootrasana,4504.28345837744
88,Origen-Destino,Ruta 3,Pradito - Vergel,,Directa No Centro,Cootrasana,4103.6986661325
89,Origen-Destino,Ruta 4,Vergel - Pradito,,Directa No Centro,Cootrasana,4413.26747587075
90,Origen-Destino,Ruta 5,Florida A,,Directa No Centro,Cootrasana,2524.59725964021
91,Origen-Destino,Ruta 6,Veredal,,Directa No Centro,Cootrasana,2675.53868017871
92,Origen-Destino,Ruta 7,Naranjitos,,Directa No Centro,Cootrasana,4182.10258744221
93,Origen-Destino,Ruta 8VC,La Verde - Las Camelias,,Directa No Centro,Cootrasana,1159.42408553468
94,Origen-Destino,Ruta 8VR,La Verde - Los Rieles,,Directa No Centro,Cootrasana,755.079801252708
95,Origen-Destino,Ruta 9,Horizontes,,Directa No Centro,Cootrasana,3194.06308826207
96,Origen-Destino,246,Blanquizal,2A,Directa Centro,Cootransblan,9658.82066531177
98,Origen-Destino,246D,Blanquizal Calazanía directa,2A,Directa Centro,Cootransblan,8633.99662479156
100,Origen-Destino,246C,Blanquizal Calazanía,2A,Directa Centro,Cootransblan,7679.85240060143
102,Origen-Destino,246i,Blanquizal integrada,2A,Integrada,Cootransblan,4761.52525568614
133,Origen-Destino,260CL,Clínica,2A,Directa Centro,Palenque Robledal,8342.32661767358
134,Origen-Destino,260C,Córdoba,2A,Directa Centro,Palenque Robledal,7069.34226070209
135,Origen-Destino,260i,Seminario integrada,2A,Integrada,Palenque Robledal,5521.49636523574
136,Origen-Destino,260BR,Brisas,2A,Directa Centro,Palenque Robledal,7796.63752276019
137,Origen-Destino,260T,Torres,2A,Directa Centro,Palenque Robledal,7353.37885538085
140,Origen-Destino,288,Doce de Octubre,2A,Directa Centro,Transporte Medellín Castilla ,9918.78720940198
143,Origen-Destino,261A,Alfonso López - Viejo Terminal,2B,Directa Centro,Transporte Medellín Castilla ,9469.5091203744
144,Origen-Destino,254i,Pilarica integrada,2B,Integrada,Transporte Medellín Castilla ,4049.26600379427
138,Origen-Destino,267,Éxito,2A,Directa Centro,Palenque Robledal,12695.8917719317
139,Origen-Destino,285,Doce de Octubre,2A,Directa Centro,Palenque Robledal,12671.7562132673
