"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"253iA","Sitva-12","253iA","Robledo Aures integrada","Integrada","3","","","",""
"254","Sitva-14","254","Picacho","Directa Centro","3","","","",""
"255","Sitva-13","255","San Cristóbal - Doña María","Directa Centro","3","","","",""
"255iD","Sitva-13","255iD","Metrocable La Aurora","Integrada","3","","","",""
"255P","Sitva-13","255P","Palmitas-Centro","Directa Centro","3","","","",""
"255V1D","Sitva-13","255V1D","San Sebastián Palmitas Centro","Directa No Centro","3","","","",""
"255V2","Sitva-13","255V2","Vereda Yolombó - Parque San Cristóbal","Directa No Centro","3","","","",""
"255V3 ","Sitva-13","255V3 ","Derecha Vereda Boquerón - Parque San Cristóbal","Directa No Centro","3","","","",""
"255V3","Sitva-13","255V3","Izquierda Vereda Boquerón - Parque San Cristóbal","Directa No Centro","3","","","",""
"255A","Sitva-13","255A","Nuevo Occidente El Tirol","Directa Centro","3","","","",""
"255A","Sitva-13","255A","Las Flores-Moravia-Centro","Directa Centro","3","","","",""
"255i","Sitva-13","255i","Metrocable Aurora-Cárcel","Integrada","3","","","",""
"255V1 ","Sitva-13","255V1 ","Vereda El Llano - Parque San Cristóbal","Directa No Centro","3","","","",""
"255V","Sitva-13","255V","Vereda La Suiza-La Frisola-La Guayabala-La Volcana","Directa No Centro","3","","","",""
"255V","Sitva-13","255V","Vereda La Aldea","Directa No Centro","3","","","",""
"254iB","Sitva-14","254iB","Pilarica","Integrada","3","","","",""
"261","Sitva-14","261","Alfonso López Calle 94","Directa Centro","3","","","",""
"261i Der","Sitva-14","261i Der","Derecha Castilla - Estación Universidad","Integrada","3","","","",""
"261i Izq","Sitva-14","261i Izq","Izquierda Castilla - Estación Universidad","Integrada","3","","","",""
"261ii","Sitva-14","261ii","Estación Tricentenario","Integrada","3","","","",""
"283","Sitva-14","283","Barrio Nuevo - Carrera 70","Directa Centro","3","","","",""
"283i","Sitva-14","283i","Florencia-estación Acevedo","Integrada","3","","","",""
"284","Sitva-14","284","Barrio Nuevo - Carrera 74","Directa Centro","3","","","",""
"289","Sitva-14","289","Pilarica Calle 96","Directa Centro","3","","","",""
"306A","Sitva-14","306A","Izquierda - Circular Noroccidental","Integrada","3","","","",""
"Anillo 1 Carrera 65","Sitva-14","Anillo 1 Carrera 65","Carabobo - Av. de Greiff","Directa Centro","3","","","",""
"Anillo 3AH Carrera 65","Sitva-14","Anillo 3AH Carrera 65","Alpujarra - Oriental sentido antihorario","Directa Centro","3","","","",""
"Anillo 3H Carrera 65","Sitva-14","Anillo 3H Carrera 65","Alpujarra - Oriental sentido horario","Directa Centro","3","","","",""
