trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
MM-B-SJAVIER-SUNDAY,05:07:00,05:07:00,MM-FLO,4,,,,
MM-B-SJAVIER-SUNDAY,05:09:00,05:09:00,MM-LUC,5,,,,
MM-B-SJAVIER-SUNDAY,05:11:00,05:11:00,MM-JAVB,6,,,,
MM-B-SANTONIO-WEEK,04:30:00,04:30:00,MM-JAVB,0,,,,
MM-B-SANTONIO-WEEK,04:32:00,04:32:00,MM-LUC,1,,,,
MM-B-SANTONIO-WEEK,04:34:00,04:34:00,MM-FLO,2,,,,
MM-B-SANTONIO-WEEK,04:36:00,04:36:00,MM-EST,3,,,,
MM-B-SANTONIO-WEEK,04:37:00,04:37:00,MM-SAM,4,,,,
MM-B-SANTONIO-WEEK,04:39:00,04:39:00,MM-CISB,5,,,,
MM-B-SANTONIO-WEEK,04:41:00,04:41:00,MM-SABB,6,,,,
MM-B-SANTONIO-SATERDAY,04:30:00,04:30:00,MM-JAVB,0,,,,
MM-B-SANTONIO-SATERDAY,04:32:00,04:32:00,MM-LUC,1,,,,
MM-B-SANTONIO-SATERDAY,04:34:00,04:34:00,MM-FLO,2,,,,
MM-B-SANTONIO-SATERDAY,04:36:00,04:36:00,MM-EST,3,,,,
MM-B-SANTONIO-SATERDAY,04:37:00,04:37:00,MM-SAM,4,,,,
MM-B-SANTONIO-SATERDAY,04:39:00,04:39:00,MM-CISB,5,,,,
MM-B-SANTONIO-SATERDAY,04:41:00,04:41:00,MM-SABB,6,,,,
MM-B-SANTONIO-SUNDAY,05:00:00,05:00:00,MM-JAVB,0,,,,
MM-B-SANTONIO-SUNDAY,05:02:00,05:02:00,MM-LUC,1,,,,
MM-B-SANTONIO-SUNDAY,05:04:00,05:04:00,MM-FLO,2,,,,
MM-B-SANTONIO-SUNDAY,05:06:00,05:06:00,MM-EST,3,,,,
MM-B-SANTONIO-SUNDAY,05:07:00,05:07:00,MM-SAM,4,,,,
MM-B-SANTONIO-SUNDAY,05:09:00,05:09:00,MM-CISB,5,,,,
MM-B-SANTONIO-SUNDAY,05:11:00,05:11:00,MM-SABB,6,,,,
MM-A-LESTRELLA-WEEK,04:30:00,04:30:00,MM-NIQ,0,,,,
MM-A-LESTRELLA-WEEK,04:32:00,04:32:00,MM-BEO,1,,,,
MM-A-LESTRELLA-WEEK,04:35:00,04:35:00,MM-MAD,2,,,,
MM-A-LESTRELLA-WEEK,04:37:00,04:37:00,MM-ACEA,3,,,,
MM-A-LESTRELLA-WEEK,04:39:00,04:39:00,MM-TRI,4,,,,
MM-A-LESTRELLA-WEEK,04:41:00,04:41:00,MM-CAR,5,,,,
MM-A-LESTRELLA-WEEK,04:43:00,04:43:00,MM-UNI,6,,,,
MM-A-LESTRELLA-WEEK,04:45:00,04:45:00,MM-HOSA,7,,,,
MM-A-LESTRELLA-WEEK,04:46:00,04:46:00,MM-PRAA,8,,,,
MM-A-LESTRELLA-WEEK,04:48:00,04:48:00,MM-BER,9,,,,
MM-A-LESTRELLA-WEEK,04:50:00,04:50:00,MM-SAAA,10,,,,
MM-A-LESTRELLA-WEEK,04:51:00,04:51:00,MM-ALP,11,,,,
MM-A-LESTRELLA-WEEK,04:52:00,04:52:00,MM-XPO,12,,,,
MM-A-LESTRELLA-WEEK,04:53:00,04:53:00,MM-INDA,13,,,,
MM-A-LESTRELLA-WEEK,04:56:00,04:56:00,MM-POB,14,,,,
MM-A-LESTRELLA-WEEK,04:58:00,04:58:00,MM-CAT,15,,,,
MM-A-LESTRELLA-WEEK,05:00:00,05:00:00,MM-AYU,16,,,,
MM-A-LESTRELLA-WEEK,05:02:00,05:02:00,MM-ENV,17,,,,
MM-A-LESTRELLA-WEEK,05:04:00,05:04:00,MM-ITA,18,,,,
MM-A-LESTRELLA-WEEK,05:06:00,05:06:00,MM-BAN,19,,,,
MM-A-LESTRELLA-WEEK,05:07:00,05:07:00,MM-STA,20,,,,
MM-A-LESTRELLA-SATERDAY,04:30:00,04:30:00,MM-NIQ,0,,,,
MM-A-LESTRELLA-SATERDAY,04:32:00,04:32:00,MM-BEO,1,,,,
MM-A-LESTRELLA-SATERDAY,04:35:00,04:35:00,MM-MAD,2,,,,
MM-A-LESTRELLA-SATERDAY,04:37:00,04:37:00,MM-ACEA,3,,,,
MM-A-LESTRELLA-SATERDAY,04:39:00,04:39:00,MM-TRI,4,,,,
MM-A-LESTRELLA-SATERDAY,04:41:00,04:41:00,MM-CAR,5,,,,
MM-A-LESTRELLA-SATERDAY,04:43:00,04:43:00,MM-UNI,6,,,,
MM-A-LESTRELLA-SATERDAY,04:45:00,04:45:00,MM-HOSA,7,,,,
MM-A-LESTRELLA-SATERDAY,04:46:00,04:46:00,MM-PRAA,8,,,,
MM-A-LESTRELLA-SATERDAY,04:48:00,04:48:00,MM-BER,9,,,,
