"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"309D","FULLWEEK","309D-1","Ruta de la Salud izquierda directa","","1","","309D-1","0","2"
"260CL","FULLWEEK","260CL-0","Clínica","","0","","260CL-0","0","2"
"085 L C","FULLWEEK","085 L C-0","La Cruz","","0","","085 L C-0","0","2"
"288","FULLWEEK","288-0","Doce de Octubre","","0","","288-0","0","2"
"261A","FULLWEEK","261A-0","Alfonso López - Viejo Terminal","","0","","261A-0","0","2"
"254i","FULLWEEK","254i-0","Pilarica integrada","","0","","254i-0","0","2"
"285","FULLWEEK","285-0","Doce de Octubre","","0","","285-0","0","2"
"250VF","FULLWEEK","250VF-0","Robledo Villa Flora","","0","","250VF-0","0","2"
"253D","FULLWEEK","253D-0","Aures derecha","","0","","253D-0","0","2"
"253I","FULLWEEK","253I-0","Aures izquierda","","0","","253I-0","0","2"
"254","FULLWEEK","254-0","Picacho","","0","","254-0","0","2"
"255","FULLWEEK","255-0","San Cristóbal - Doña María","","0","","255-0","0","2"
"255iD","FULLWEEK","255iD-0","Metrocable La Aurora","","0","","255iD-0","0","2"
"255P","FULLWEEK","255P-0","Palmitas-Centro","","0","","255P-0","0","2"
"255V2","FULLWEEK","255V2-0","Vereda Yolombó - Parque San Cristóbal","","0","","255V2-0","0","2"
"255V3 ","FULLWEEK","255V3 -0","Derecha Vereda Boquerón - Parque San Cristóbal","","0","","255V3 -0","0","2"
"255V3","FULLWEEK","255V3-0","Izquierda Vereda Boquerón - Parque San Cristóbal","","0","","255V3-0","0","2"
"255i","FULLWEEK","255i-0","Metrocable Aurora-Cárcel","","0","","255i-0","0","2"
"255V1 ","FULLWEEK","255V1 -0","Vereda El Llano - Parque San Cristóbal","","0","","255V1 -0","0","2"
"255V","FULLWEEK","255V-0","Vereda La Suiza-La Frisola-La Guayabala-La Volcana","","0","","255V-0","0","2"
"255V","FULLWEEK","255V-0","Vereda La Aldea","","0","","255V-0","0","2"
"254iB","FULLWEEK","254iB-0","Pilarica","","0","","254iB-0","0","2"
"261","FULLWEEK","261-0","Alfonso López Calle 94","","0","","261-0","0","2"
"261i Der","FULLWEEK","261i Der-0","Derecha Castilla - Estación Universidad","","0","","261i Der-0","0","2"
"261i Izq","FULLWEEK","261i Izq-0","Izquierda Castilla - Estación Universidad","","0","","261i Izq-0","0","2"
"283","FULLWEEK","283-0","Barrio Nuevo - Carrera 70","","0","","283-0","0","2"
"283i","FULLWEEK","283i-0","Florencia-estación Acevedo","","0","","283i-0","0","2"
"284","FULLWEEK","284-0","Barrio Nuevo - Carrera 74","","0","","284-0","0","2"
"306A","FULLWEEK","306A-0","Izquierda - Circular Noroccidental","","0","","306A-0","0","2"
"Anillo 1 Carrera 65","FULLWEEK","Anillo 1 Carrera 65-0","Carabobo - Av. de Greiff","","0","","Anillo 1 Carrera 65-0","0","2"
"Anillo 3AH Carrera 65","FULLWEEK","Anillo 3AH Carrera 65-0","Alpujarra - Oriental sentido antihorario","","0","","Anillo 3AH Carrera 65-0","0","2"
"Anillo 3H Carrera 65","FULLWEEK","Anillo 3H Carrera 65-0","Alpujarra - Oriental sentido horario","","0","","Anillo 3H Carrera 65-0","0","2"
"306B","FULLWEEK","306B-0","Derecha - Circular Noroccidental","","0","","306B-0","0","2"
"402","FULLWEEK","402-0","Transversal Occidental","","0","","402-0","0","2"
"263","FULLWEEK","263-0","12 de Octubre - Calle 90","","0","","263-0","0","2"
"111","FULLWEEK","111-1","El Salvador Barrio Nacional","","1","","111-1","0","2"
"263i","FULLWEEK","263i-0","12 de Octubre - Estación Tricentenario","","0","","263i-0","0","2"
"263ii","FULLWEEK","263ii-0","12 de Octubre - Estación Tricentenario","","0","","263ii-0","0","2"
"255A","FULLWEEK","255A-0","Nuevo Occidente El Tirol","","0","","255A-0","0","2"
"280","FULLWEEK","280-0","Santander - Carrera 73","","0","","280-0","0","2"
"260i","FULLWEEK","260i-0","Seminario integrada","","0","","260i-0","0","2"
"255A","FULLWEEK","255A-0","Nuevo Occidente-Las Flores","","0","","255A-0","0","2"
"195","FULLWEEK","195-0","Simón Bolívar-Unicentro-Centro","","0","","195-0","0","2"
"280 Directa","FULLWEEK","280 Directa-0","Santander - Carrera 73","","0","","280 Directa-0","0","2"
"281","FULLWEEK","281-0","Florencia","","0","","281-0","0","2"
"282","FULLWEEK","282-0","Doce de Octubre - HPTU","","0","","282-0","0","2"
"170","FULLWEEK","170-0","Belén Las Playas","","0","","170-0","0","2"
"172","FULLWEEK","172-0","Belén La Gloria","","0","","172-0","0","2"
"93","FULLWEEK","93-1","Caicedo La Toma Minorista","","1","","93-1","0","2"
"242","FULLWEEK","242-0","La Divisa","","0","","242-0","0","2"
"242","FULLWEEK","242-0","La Quiebra","","0","","242-0","0","2"
"130i","FULLWEEK","130i-0","Industriales - Aguacatala","","0","","130i-0","0","2"
"132","FULLWEEK","132-0","Poblado Éxito directa","","0","","132-0","0","2"
"130","FULLWEEK","130-0","Poblado Parque directa","","0","","130-0","0","2"
"243","FULLWEEK","243-0","La Divisa","","0","","243-0","0","2"
"Anillo 3H Carrera 65 Horario Esp","FULLWEEK","Anillo 3H Carrera 65 Horario Esp-0","Alpujarra - Oriental sentido horario","","0","","Anillo 3H Carrera 65 Horario Esp-0","0","2"
"Anillo F1 Carrera 65","FULLWEEK","Anillo F1 Carrera 65-0","Av. Greiff - Puente Horacio Toro","","0","","Anillo F1 Carrera 65-0","0","2"
"Anillo F2 Carrera 65","FULLWEEK","Anillo F2 Carrera 65-0","Av. Regional - San Diego","","0","","Anillo F2 Carrera 65-0","0","2"
"Anillo F3 Carrera 65","FULLWEEK","Anillo F3 Carrera 65-0","Parque Los Periodistas","","0","","Anillo F3 Carrera 65-0","0","2"
"Anillo 1 Carrera 73","FULLWEEK","Anillo 1 Carrera 73-0","Carabobo - Av. Greiff","","0","","Anillo 1 Carrera 73-0","0","2"
"Anillo 2 Carrera 73","FULLWEEK","Anillo 2 Carrera 73-0","El Hueco - Parque Berrío","","0","","Anillo 2 Carrera 73-0","0","2"
"Anillo 3ah Carrera 73","FULLWEEK","Anillo 3ah Carrera 73-0","Alpujarra - Oriental sentido antihorario","","0","","Anillo 3ah Carrera 73-0","0","2"
"Anillo 3h Carrera 73","FULLWEEK","Anillo 3h Carrera 73-0","Alpujarra - Oriental sentido horario","","0","","Anillo 3h Carrera 73-0","0","2"
"Anillo F1 Carrera 73","FULLWEEK","Anillo F1 Carrera 73-0","Av. Greiff - Puente Horacio Toro","","0","","Anillo F1 Carrera 73-0","0","2"
"243","FULLWEEK","243-0","La Quiebra","","0","","243-0","0","2"
"C23_Alterna","FULLWEEK","C23_Alterna-0","San Cristóbal-La Asomadera-Centro","","0","","C23_Alterna-0","0","2"
"C23","FULLWEEK","C23-0","San Cristóbal-San Javier-La Loma-Centro","","0","","C23-0","0","2"
"132A","FULLWEEK","132A-0","Poblado Éxito alterna","","0","","132A-0","0","2"
"132i","FULLWEEK","132i-0","La Visitación, Oviedo, U. Eafit","","0","","132i-0","0","2"
"132iA","FULLWEEK","132iA-0","La Visitación, Oviedo, U. Eafit alterna","","0","","132iA-0","0","2"
"132ii","FULLWEEK","132ii-0","Aguacatala - Poblado - Av. 34","","0","","132ii-0","0","2"
"135","FULLWEEK","135-0","Poblado Campestre","","0","","135-0","0","2"
"135i","FULLWEEK","135i-0","Los Yarumos San Lucas","","0","","135i-0","0","2"
"135ii","FULLWEEK","135ii-0","Patio Bonito","","0","","135ii-0","0","2"
"141","FULLWEEK","141-0","Guayabal La Raya","","0","","141-0","0","2"
"136A","FULLWEEK","136A-0","Colinas del Viento - La Isla","","0","","136A-0","0","2"
"142","FULLWEEK","142-0","Guayabal Viviendas del Sur","","0","","142-0","0","2"
"142i","FULLWEEK","142i-0","Metro Aguacatala","","0","","142i-0","0","2"
"318B","FULLWEEK","318B-0","San Antonio de Prado","","0","","318B-0","0","2"
"C6-005","FULLWEEK","C6-005-0","Cerros el Vergel - San José","","0","","C6-005-0","0","2"
"134iA","FULLWEEK","134iA-1","CES, Chuscalito, Chacaltaya","","1","","134iA-1","0","2"
"C6-005A","FULLWEEK","C6-005A-0","Quinta Linda - San José","","0","","C6-005A-0","0","2"
"C6-019","FULLWEEK","C6-019-0","El Raizal - Jardín - Gardel","","0","","C6-019-0","0","2"
"C6-019A","FULLWEEK","C6-019A-0","El Raizal - Jardín - Gardel","","0","","C6-019A-0","0","2"
"085","FULLWEEK","085-0","La Honda","","0","","085-0","0","2"
"90","FULLWEEK","90-0","Pinal","","0","","90-0","0","2"
"91","FULLWEEK","91-0","Alcázares de Sucre","","0","","91-0","0","2"
"112","FULLWEEK","112-1","Las Palmas","","1","","112-1","0","2"
"133D","FULLWEEK","133D-0","San Lucas directa","","0","","133D-0","0","2"
"111","FULLWEEK","111-1","El Salvador","","1","","111-1","0","2"
"133i","FULLWEEK","133i-0","San Lucas","","0","","133i-0","0","2"
"133ii","FULLWEEK","133ii-0","Campestre, ISA, Loma de Los González","","0","","133ii-0","0","2"
"133iiA","FULLWEEK","133iiA-0","Balsos La Y","","0","","133iiA-0","0","2"
"134","FULLWEEK","134-0","Poblado - El Tesoro - La Chacona","","0","","134-0","0","2"
"134i","FULLWEEK","134i-0","La Y","","0","","134i-0","0","2"
"93","FULLWEEK","93-1","Caicedo","","1","","93-1","0","2"
"134Y","FULLWEEK","134Y-0","Poblado - El Tesoro - La Y","","0","","134Y-0","0","2"
"103","FULLWEEK","103-0","Sierra","","0","","103-0","0","2"
"103","FULLWEEK","103-0","Sierra Minorista","","0","","103-0","0","2"
"103","FULLWEEK","103-0","Mirlas","","0","","103-0","0","2"
"103","FULLWEEK","103-0","Mirlas Minorista","","0","","103-0","0","2"
"2","FULLWEEK","2-0","Santa Rita -Zamora","","0","","2-0","0","2"
"6","FULLWEEK","6-0","La Francia","","0","","6-0","0","2"
"22","FULLWEEK","22-0","Santa Cruz - Terminal","","0","","22-0","0","2"
"099 Horario Esp","FULLWEEK","099 Horario Esp-0","Cerros de Quintalinda","","0","","099 Horario Esp-0","0","2"
"102A","FULLWEEK","102A-0","Pablo Escobar-Cataluña","","0","","102A-0","0","2"
"23","FULLWEEK","23-0","Popular N° 1","","0","","23-0","0","2"
"041D","FULLWEEK","041D-0","Aranjuez anillo derecha","","0","","041D-0","0","2"
"041I","FULLWEEK","041I-0","Aranjuez anillo izquierda","","0","","041I-0","0","2"
"42","FULLWEEK","42-0","Aranjuez intermedia","","0","","42-0","0","2"
"24","FULLWEEK","24-0","Playón de los Comuneros - Oriental","","0","","24-0","0","2"
"37 - 39","FULLWEEK","37 - 39-0","Hueco","","0","","37 - 39-0","0","2"
"110","FULLWEEK","110-1","La Milagrosa","","1","","110-1","0","2"
"111","FULLWEEK","111-0","El Salvador","","0","","111-0","0","2"
"112","FULLWEEK","112-0","Las Palmas","","0","","112-0","0","2"
"113","FULLWEEK","113-1","Ávila - Cataluña","","1","","113-1","0","2"
"113M","FULLWEEK","113M-1","Pablo E.","","1","","113M-1","0","2"
"81","FULLWEEK","81-1","Villa Hermosa - Derecho","","1","","81-1","0","2"
"111","FULLWEEK","111-0","El Salvador Barrio Nacional","","0","","111-0","0","2"
"111","FULLWEEK","111-1","El Salvador derecho","","1","","111-1","0","2"
"082 V-LA","FULLWEEK","082 V-LA-1","Villa Hermosa - Los Ángeles","","1","","082 V-LA-1","0","2"
