"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code","agency_email"
"54542","","CR 39 83-49, Medellin","America/Bogota","-75.547757275532931","6.274814915397874","","","","","America/Bogota","","","",""
"54543","","CL 57CC x CR 26, Medellin","America/Bogota","-75.547675695570121","6.248278756814864","","","","","America/Bogota","","","",""
"54544","","CL 46 x CR 20A, Medellin","America/Bogota","-75.547663582586523","6.236405333407608","","","","","America/Bogota","","","",""
"54545","","CR 39 83-23, Medellin","America/Bogota","-75.547653842001935","6.274720033189925","","","","","America/Bogota","","","",""
"54546","","CR 39 x CL 85A, Medellin","America/Bogota","-75.547653429817331","6.277750359325993","","","","","America/Bogota","","","",""
"54547","","CR 38 95A-27, Medellin","America/Bogota","-75.547649051891298","6.286499475831951","","","","","America/Bogota","","","",""
"54548","","CR 26 59-, Medellin","America/Bogota","-75.547642546791408","6.251120335828996","","","","","America/Bogota","","","",""
"54549","","CR 39 x CL 86, Medellin","America/Bogota","-75.547639372175269","6.278199720909295","","","","","America/Bogota","","","",""
"54550","","CL 124 43-62, Medellin","America/Bogota","-75.547631495098287","6.303855774065295","","","","","America/Bogota","","","",""
"54551","","CL 46 x CR 20A  , Medellin","America/Bogota","-75.547576891831866","6.236215606339506","","","","","America/Bogota","","","",""
"54552","","CR 39 84-09, Medellin","America/Bogota","-75.547561386234776","6.275322539594609","","","","","America/Bogota","","","",""
"54553","","CR 42C 108-31, Medellin","America/Bogota","-75.547542695191495","6.297301022752298","","","","","America/Bogota","","","",""
"54554","","CL 105 39-05, Medellin","America/Bogota","-75.547507832936176","6.29330555735702","","","","","America/Bogota","","","",""
"54555","","CL 34 x CR 19, Medellin","America/Bogota","-75.547459428976964","6.227185121052847","","","","","America/Bogota","","","",""
"54556","","CR 39 84-20, Medellin","America/Bogota","-75.547419980698209","6.275377670958913","","","","","America/Bogota","","","",""
"54557","","CL 57CC 24BB-42, Medellin","America/Bogota","-75.547387514048225","6.248541314260615","","","","","America/Bogota","","","",""
"54558","","CL 57CC x CR 24BB, Medellin","America/Bogota","-75.547309292901687","6.248460130038123","","","","","America/Bogota","","","",""
"54559","","CR 36C 79B-43, Medellin","America/Bogota","-75.547299687520507","6.271259362602288","","","","","America/Bogota","","","",""
"54560","","CR 42C 109-09, Medellin","America/Bogota","-75.54729490096949","6.298262351131589","","","","","America/Bogota","","","",""
"54561","","CR 36C 79B-44, Medellin","America/Bogota","-75.547291319836205","6.271196952334875","","","","","America/Bogota","","","",""
"54562","","CL 21 x CR 41, Bello","America/Bogota","-75.547261922364982","6.309240230307219","","","","","America/Bogota","","","",""
"54563","","CL 49 x CR 20, Medellin","America/Bogota","-75.54712763610658","6.23804452211701","","","","","America/Bogota","","","",""
"54564","","CL 49 x CR 18, Medellin","America/Bogota","-75.547108294754111","6.23783338035815","","","","","America/Bogota","","","",""
"54565","","CL 89 36C-04, Medellin","America/Bogota","-75.547050636958986","6.281566559028945","","","","","America/Bogota","","","",""
"54566","","CR 42D 110-43, Medellin","America/Bogota","-75.547021612182036","6.299088189895238","","","","","America/Bogota","","","",""
"54567","","CL 118B 42E-95, Medellin","America/Bogota","-75.547006164282081","6.302214501820949","","","","","America/Bogota","","","",""
"54568","","CL 34 x CR 19, Medellin","America/Bogota","-75.546938745750893","6.226813366657901","","","","","America/Bogota","","","",""
"54569","","CR 10 x CL 12, Medellin","America/Bogota","-75.546929854915476","6.212743946909255","","","","","America/Bogota","","","",""
"54570","","CR 42B 107E-46, Medellin","America/Bogota","-75.546922099834035","6.296705597468141","","","","","America/Bogota","","","",""
"54571","","CL 21C x CR 40C, Bello","America/Bogota","-75.546873970442391","6.309302352368423","","","","","America/Bogota","","","",""
"54572","","CL 101B 38-20, Medellin","America/Bogota","-75.546851775948909","6.291085521090019","","","","","America/Bogota","","","",""
"54573","","CL 56 x CR 25AA, Medellin","America/Bogota","-75.546830965673152","6.24412186480913","","","","","America/Bogota","","","",""
"54574","","CL 71A 34-46, Medellin","America/Bogota","-75.546818830983142","6.266639865398074","","","","","America/Bogota","","","",""
"54575","","CL 75B 36-11, Medellin","America/Bogota","-75.546796609206709","6.268348818347016","","","","","America/Bogota","","","",""
"54576","","CL 89 x CR 36AA, Medellin","America/Bogota","-75.546776736861474","6.281396886275188","","","","","America/Bogota","","","",""
"54577","","CL 75B 36-18, Medellin","America/Bogota","-75.546770951857908","6.268472591461379","","","","","America/Bogota","","","",""
"54578","","CL 80 36A-21, Medellin","America/Bogota","-75.546755076369692","6.271394708050561","","","","","America/Bogota","","","",""
