"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"255P","Sitva-3","255P","Palmitas-Centro","Directa Centro","3","","","",""
"255V2","Sitva-3","255V2","Vereda Yolombó - Parque San Cristóbal","Directa No Centro","3","","","",""
"255V3 ","Sitva-3","255V3 ","Derecha Vereda Boquerón - Parque San Cristóbal","Directa No Centro","3","","","",""
"255V3","Sitva-3","255V3","Izquierda Vereda Boquerón - Parque San Cristóbal","Directa No Centro","3","","","",""
"255i","Sitva-3","255i","Metrocable Aurora-Cárcel","Integrada","3","","","",""
"255V1 ","Sitva-3","255V1 ","Vereda El Llano - Parque San Cristóbal","Directa No Centro","3","","","",""
"255V","Sitva-3","255V","Vereda La Suiza-La Frisola-La Guayabala-La Volcana","Directa No Centro","3","","","",""
"255V","Sitva-3","255V","Vereda La Aldea","Directa No Centro","3","","","",""
"254iB","Sitva-18","254iB","Pilarica","Integrada","3","","","",""
"261","Sitva-18","261","Alfonso López Calle 94","Directa Centro","3","","","",""
"261i Der","Sitva-18","261i Der","Derecha Castilla - Estación Universidad","Integrada","3","","","",""
"261i Izq","Sitva-18","261i Izq","Izquierda Castilla - Estación Universidad","Integrada","3","","","",""
"283","Sitva-18","283","Barrio Nuevo - Carrera 70","Directa Centro","3","","","",""
"283i","Sitva-18","283i","Florencia-estación Acevedo","Integrada","3","","","",""
"284","Sitva-18","284","Barrio Nuevo - Carrera 74","Directa Centro","3","","","",""
"306A","Sitva-18","306A","Izquierda - Circular Noroccidental","Integrada","3","","","",""
"Anillo 1 Carrera 65","Sitva-18","Anillo 1 Carrera 65","Carabobo - Av. de Greiff","Directa Centro","3","","","",""
"Anillo 3AH Carrera 65","Sitva-18","Anillo 3AH Carrera 65","Alpujarra - Oriental sentido antihorario","Directa Centro","3","","","",""
"Anillo 3H Carrera 65","Sitva-18","Anillo 3H Carrera 65","Alpujarra - Oriental sentido horario","Directa Centro","3","","","",""
"306B","Sitva-18","306B","Derecha - Circular Noroccidental","Integrada","3","","","",""
"402","Sitva-18","402","Transversal Occidental","Directa Centro","3","","","",""
"263","Sitva-18","263","12 de Octubre - Calle 90","Directa Centro","3","","","",""
"111","Sitva-13","111","El Salvador Barrio Nacional","Directa Centro","3","","","",""
"263i","Sitva-18","263i","12 de Octubre - Estación Tricentenario","Integrada","3","","","",""
"263ii","Sitva-18","263ii","12 de Octubre - Estación Tricentenario","Integrada","3","","","",""
"255A","Sitva-3","255A","Nuevo Occidente El Tirol","Directa Centro","3","","","",""
"280","Sitva-18","280","Santander - Carrera 73","Directa Centro","3","","","",""
"260i","Sitva-17","260i","Seminario integrada","Integrada","3","","","",""
"255A","Sitva-3","255A","Nuevo Occidente-Las Flores","Directa Centro","3","","","",""
"195","Sitva-20","195","Simón Bolívar-Unicentro-Centro","Directa Centro","3","","","",""
"280 Directa","Sitva-18","280 Directa","Santander - Carrera 73","Directa Centro","3","","","",""
"281","Sitva-18","281","Florencia","Directa Centro","3","","","",""
"282","Sitva-18","282","Doce de Octubre - HPTU","Directa Centro","3","","","",""
"170","Sitva-1","170","Belén Las Playas","Directa Centro","3","","","",""
"172","Sitva-1","172","Belén La Gloria","Directa Centro","3","","","",""
"93","Sitva-21","93","Caicedo La Toma Minorista","Directa Centro","3","","","",""
"242","Sitva-7","242","La Divisa","Directa Centro","3","","","",""
"242","Sitva-7","242","La Quiebra","Directa Centro","3","","","",""
"130i","Sitva-6","130i","Industriales - Aguacatala","Integrada","3","","","",""
"132","Sitva-6","132","Poblado Éxito directa","Directa Centro","3","","","",""
"130","Sitva-6","130","Poblado Parque directa","Directa Centro","3","","","",""
"243","Sitva-7","243","La Divisa","Directa Centro","3","","","",""
